transaction_id,transaction_date,customer_id,state,age_group,customer_segment,risk_tier,merchant_category,payment_channel,payment_method,device_type,transaction_amount,fee_amount,transaction_status,failure_reason,risk_score,risk_flag
TXN0000059,2025-01-01,CUST00020,CO,45-54,Premium,Low,Money Transfer,Card Terminal,Debit Card,API,293.05,3.52,Completed,None,16,Low Risk
TXN0000060,2025-02-16,CUST00084,TX,35-44,Premium,Medium,Restaurants,Card Terminal,Wallet Balance,iOS,111.32,0.45,Completed,None,30,Low Risk
TXN0000061,2025-02-06,CUST00390,VA,35-44,Standard,Low,Digital Services,Mobile App,Debit Card,iOS,131.73,1.58,Completed,None,2,Low Risk
TXN0000062,2025-06-21,CUST00292,VA,45-54,Premium,Low,Restaurants,API,Credit Card,iOS,57.33,1.26,Completed,None,12,Low Risk
TXN0000063,2025-03-31,CUST00214,VA,25-34,Premium,Low,Digital Services,Mobile App,Debit Card,Android,11.97,0.14,Completed,None,5,Low Risk
TXN0000064,2025-04-16,CUST00522,GA,35-44,Standard,Medium,Retail,Mobile App,Credit Card,iOS,54.97,1.21,Completed,None,22,Low Risk
TXN0000065,2025-02-11,CUST00424,WA,45-54,Standard,Low,Retail,API,Debit Card,iOS,25.44,0.31,Completed,None,13,Low Risk
TXN0000066,2025-01-19,CUST00181,FL,45-54,Standard,Low,Digital Services,API,Debit Card,iOS,41.1,0.49,Completed,None,12,Low Risk
TXN0000067,2025-03-28,CUST00128,NY,45-54,Standard,Low,Retail,Web,Credit Card,iOS,56.26,1.24,Completed,None,5,Low Risk
TXN0000068,2025-06-05,CUST00565,NC,55+,Standard,Low,Money Transfer,Mobile App,Debit Card,iOS,232.9,2.79,Completed,None,23,Low Risk
TXN0000069,2025-06-19,CUST00576,WA,35-44,Standard,High,Digital Services,Mobile App,Debit Card,Android,182.98,2.2,Completed,None,39,Low Risk
TXN0000070,2025-01-14,CUST00175,FL,18-24,Standard,Low,Digital Services,Mobile App,Debit Card,Android,22.44,0.27,Completed,None,6,Low Risk
TXN0000071,2025-01-25,CUST00473,MA,35-44,Standard,High,Grocery,Mobile App,Debit Card,iOS,87.82,1.05,Completed,None,44,Medium Risk
TXN0000072,2025-04-12,CUST00020,CO,45-54,Premium,Low,Retail,API,Debit Card,Android,5.0,0.06,Completed,None,21,Low Risk
TXN0000073,2025-04-08,CUST00261,NY,18-24,Standard,Medium,Digital Services,Mobile App,Debit Card,Android,108.96,1.31,Completed,None,23,Low Risk
TXN0000074,2025-05-25,CUST00648,NJ,25-34,Standard,Low,Grocery,API,Credit Card,iOS,28.82,0.63,Completed,None,23,Low Risk
TXN0000075,2025-05-31,CUST00200,CO,35-44,Standard,Low,Utilities,Mobile App,Debit Card,Android,314.78,3.78,Completed,None,15,Low Risk
TXN0000076,2025-05-27,CUST00482,AZ,18-24,Standard,Medium,Money Transfer,Mobile App,Debit Card,POS,346.87,4.16,Completed,None,34,Low Risk
TXN0000077,2025-01-31,CUST00455,TX,55+,Standard,Low,Money Transfer,Mobile App,Wallet Balance,iOS,163.75,0.66,Completed,None,21,Low Risk
TXN0000078,2025-02-02,CUST00370,WA,18-24,Premium,Low,Grocery,Mobile App,Credit Card,iOS,48.58,1.07,Completed,None,4,Low Risk
TXN0000079,2025-06-02,CUST00386,CA,45-54,Small Business,Low,Digital Services,Card Terminal,Wallet Balance,iOS,42.0,0.17,Completed,None,12,Low Risk
TXN0000080,2025-05-22,CUST00433,NJ,35-44,Standard,High,Digital Services,Mobile App,Credit Card,POS,53.23,1.17,Completed,None,48,Medium Risk
TXN0000081,2025-01-29,CUST00646,CO,35-44,Standard,Medium,Travel,Mobile App,Credit Card,Desktop,242.62,5.34,Completed,None,18,Low Risk
TXN0000082,2025-05-25,CUST00570,OH,18-24,Standard,Low,Healthcare,API,ACH,POS,65.99,0.4,Completed,None,18,Low Risk
TXN0000083,2025-04-09,CUST00380,OH,25-34,Standard,Low,Restaurants,Web,Credit Card,iOS,86.14,1.9,Completed,None,12,Low Risk
TXN0000084,2025-01-10,CUST00463,CO,18-24,Standard,Medium,Travel,API,Credit Card,iOS,372.05,8.19,Completed,None,33,Low Risk
TXN0000085,2025-04-06,CUST00286,FL,35-44,Standard,Medium,Grocery,API,Debit Card,iOS,10.56,0.13,Completed,None,28,Low Risk
TXN0000086,2025-02-28,CUST00033,CO,35-44,Standard,Low,Grocery,Card Terminal,Credit Card,Desktop,24.02,0.53,Completed,None,13,Low Risk
TXN0000087,2025-06-04,CUST00625,NY,45-54,Standard,Medium,Restaurants,Mobile App,Debit Card,Desktop,33.25,0.4,Completed,None,26,Low Risk
TXN0000088,2025-01-15,CUST00331,WA,45-54,Standard,High,Retail,Mobile App,Debit Card,Android,17.01,0.2,Completed,None,35,Low Risk
TXN0000089,2025-02-14,CUST00308,CA,25-34,Small Business,Low,Utilities,API,ACH,iOS,86.03,0.52,Completed,None,21,Low Risk
TXN0000090,2025-06-30,CUST00543,NJ,25-34,Standard,Low,Utilities,Mobile App,Credit Card,Android,159.68,3.51,Completed,None,0,Low Risk
TXN0000091,2025-03-03,CUST00229,NY,25-34,Small Business,Medium,Digital Services,Web,Debit Card,POS,44.22,0.53,Completed,None,26,Low Risk
TXN0000092,2025-03-30,CUST00202,TX,55+,Standard,Low,Utilities,API,ACH,Android,98.46,0.59,Completed,None,22,Low Risk
TXN0000093,2025-01-13,CUST00509,IL,55+,Small Business,Low,Utilities,Web,Wallet Balance,POS,229.03,0.92,Completed,None,6,Low Risk
TXN0000094,2025-03-10,CUST00269,CA,18-24,Premium,Low,Restaurants,Web,ACH,API,81.96,0.49,Completed,None,15,Low Risk
TXN0000095,2025-02-03,CUST00089,IL,55+,Standard,Low,Restaurants,Web,Debit Card,iOS,128.7,1.54,Completed,None,9,Low Risk
TXN0000096,2025-06-14,CUST00497,TX,18-24,Standard,Medium,Digital Services,API,ACH,Android,430.17,2.58,Completed,None,34,Low Risk
TXN0000097,2025-06-23,CUST00211,VA,25-34,Small Business,Medium,Retail,Web,Credit Card,iOS,103.6,2.28,Completed,None,26,Low Risk
TXN0000098,2025-05-24,CUST00332,NY,35-44,Standard,Low,Restaurants,Web,Debit Card,iOS,12.19,0.15,Completed,None,8,Low Risk
TXN0000099,2025-06-13,CUST00075,OH,25-34,Standard,Low,Digital Services,Mobile App,Credit Card,API,7.25,0.16,Completed,None,6,Low Risk
TXN0000100,2025-02-08,CUST00220,MA,18-24,Standard,Low,Retail,Mobile App,Debit Card,POS,48.29,0.58,Completed,None,12,Low Risk
TXN0000101,2025-06-19,CUST00217,CO,45-54,Small Business,Low,Digital Services,Mobile App,Debit Card,Android,25.07,0.3,Completed,None,13,Low Risk
TXN0000102,2025-04-14,CUST00170,OH,55+,Standard,Low,Travel,Mobile App,ACH,Android,536.07,3.22,Completed,None,32,Low Risk
TXN0000103,2025-06-25,CUST00290,OH,55+,Standard,Medium,Retail,API,Wallet Balance,Android,104.79,0.42,Completed,None,30,Low Risk
TXN0000104,2025-06-18,CUST00420,PA,18-24,Standard,Medium,Money Transfer,Mobile App,Debit Card,iOS,203.85,2.45,Completed,None,35,Low Risk
TXN0000105,2025-06-24,CUST00159,OH,25-34,Standard,Low,Money Transfer,Web,Debit Card,iOS,420.63,5.05,Completed,None,28,Low Risk
TXN0000106,2025-03-26,CUST00647,WA,25-34,Premium,Low,Digital Services,Web,Credit Card,iOS,82.41,1.81,Completed,None,2,Low Risk
TXN0000107,2025-05-01,CUST00165,PA,45-54,Premium,Low,Money Transfer,Web,ACH,Android,916.01,5.5,Completed,None,41,Medium Risk
TXN0000108,2025-02-08,CUST00241,OH,18-24,Standard,Medium,Grocery,Mobile App,Credit Card,Android,115.07,2.53,Completed,None,29,Low Risk
TXN0000109,2025-02-06,CUST00626,OH,55+,Premium,Low,Digital Services,Web,ACH,Android,43.35,0.26,Completed,None,5,Low Risk
TXN0000110,2025-03-22,CUST00290,OH,55+,Standard,Medium,Restaurants,Mobile App,Debit Card,Desktop,76.01,0.91,Completed,None,20,Low Risk
TXN0000111,2025-05-06,CUST00329,VA,55+,Premium,Medium,Entertainment,API,Debit Card,Android,73.28,0.88,Completed,None,38,Low Risk
TXN0000112,2025-05-03,CUST00219,NY,18-24,Premium,Low,Travel,Mobile App,Debit Card,Android,863.53,0.0,Failed,Insufficient Funds,51,Medium Risk
TXN0000113,2025-01-05,CUST00215,WA,55+,Standard,High,Restaurants,Web,Debit Card,Android,40.08,0.48,Completed,None,39,Low Risk
TXN0000114,2025-01-27,CUST00575,NJ,25-34,Standard,Low,Travel,Web,Debit Card,Desktop,511.75,6.14,Completed,None,34,Low Risk
TXN0000115,2025-04-27,CUST00502,MA,45-54,Standard,Low,Healthcare,Web,Debit Card,POS,46.77,0.56,Completed,None,10,Low Risk
TXN0000116,2025-05-06,CUST00082,OH,25-34,Premium,High,Digital Services,Mobile App,Wallet Balance,POS,119.04,0.48,Completed,None,42,Medium Risk
TXN0000117,2025-02-27,CUST00158,NJ,25-34,Standard,Low,Healthcare,Mobile App,ACH,Android,193.21,1.16,Completed,None,11,Low Risk
TXN0000118,2025-06-16,CUST00310,OH,45-54,Premium,Low,Entertainment,Mobile App,Credit Card,Desktop,66.93,1.47,Completed,None,1,Low Risk
TXN0000119,2025-06-19,CUST00160,NJ,55+,Standard,Low,Grocery,API,Debit Card,iOS,51.44,0.62,Completed,None,13,Low Risk
TXN0000120,2025-05-21,CUST00378,WA,55+,Standard,Medium,Digital Services,Web,Debit Card,Android,172.19,0.0,Failed,Card Declined,38,Low Risk
TXN0000121,2025-06-19,CUST00382,VA,35-44,Standard,Low,Retail,Web,ACH,Android,136.17,0.82,Completed,None,3,Low Risk
TXN0000122,2025-03-14,CUST00418,CA,35-44,Standard,Medium,Grocery,Mobile App,Debit Card,iOS,46.47,0.56,Completed,None,21,Low Risk
TXN0000123,2025-04-02,CUST00402,CO,25-34,Standard,Low,Restaurants,Mobile App,Debit Card,Android,115.9,1.39,Completed,None,15,Low Risk
TXN0000124,2025-03-26,CUST00642,OH,35-44,Standard,Medium,Utilities,Mobile App,Debit Card,iOS,70.88,0.85,Completed,None,30,Low Risk
TXN0000125,2025-02-08,CUST00229,NY,25-34,Small Business,Medium,Money Transfer,API,Debit Card,Desktop,265.97,3.19,Completed,None,47,Medium Risk
TXN0000126,2025-04-27,CUST00218,VA,35-44,Standard,Low,Subscription,Mobile App,Credit Card,iOS,61.99,1.36,Completed,None,1,Low Risk
TXN0000127,2025-03-16,CUST00390,VA,35-44,Standard,Low,Digital Services,Web,Credit Card,iOS,90.21,1.98,Completed,None,1,Low Risk
TXN0000128,2025-01-03,CUST00191,NY,35-44,Premium,Low,Money Transfer,Web,Debit Card,Android,228.06,2.74,Completed,None,23,Low Risk
TXN0000129,2025-01-24,CUST00006,WA,35-44,Premium,Low,Digital Services,Mobile App,Debit Card,Android,130.71,1.57,Completed,None,12,Low Risk
TXN0000130,2025-06-26,CUST00429,TX,55+,Small Business,Medium,Money Transfer,API,Credit Card,Desktop,83.52,1.84,Completed,None,41,Medium Risk
TXN0000131,2025-02-10,CUST00567,GA,25-34,Premium,Medium,Grocery,Card Terminal,Credit Card,Android,5.54,0.12,Completed,None,27,Low Risk
TXN0000132,2025-04-02,CUST00408,MA,55+,Premium,Low,Restaurants,API,ACH,Desktop,103.91,0.62,Completed,None,25,Low Risk
TXN0000133,2025-05-05,CUST00544,VA,18-24,Premium,Medium,Grocery,Mobile App,Debit Card,iOS,36.53,0.44,Completed,None,22,Low Risk
TXN0000134,2025-06-21,CUST00474,WA,35-44,Standard,Medium,Money Transfer,Web,Credit Card,Android,100.42,2.21,Completed,None,37,Low Risk
TXN0000135,2025-05-04,CUST00279,VA,45-54,Standard,Low,Digital Services,Web,Debit Card,Desktop,64.09,0.77,Completed,None,1,Low Risk
TXN0000136,2025-01-03,CUST00275,WA,25-34,Standard,Low,Restaurants,Mobile App,ACH,POS,61.53,0.37,Completed,None,2,Low Risk
TXN0000137,2025-05-06,CUST00508,GA,55+,Standard,Low,Digital Services,Mobile App,Debit Card,Android,79.93,0.96,Completed,None,12,Low Risk
TXN0000138,2025-04-14,CUST00517,NC,18-24,Standard,Low,Entertainment,Mobile App,Credit Card,Android,32.49,0.71,Completed,None,15,Low Risk
TXN0000139,2025-04-25,CUST00010,NC,35-44,Standard,Medium,Digital Services,Card Terminal,ACH,iOS,31.22,0.19,Completed,None,16,Low Risk
TXN0000140,2025-05-23,CUST00251,CO,45-54,Standard,Medium,Retail,API,ACH,API,12.44,0.07,Completed,None,31,Low Risk
TXN0000141,2025-06-17,CUST00260,AZ,25-34,Small Business,Low,Restaurants,Card Terminal,Debit Card,iOS,129.35,1.55,Completed,None,14,Low Risk
TXN0000142,2025-03-26,CUST00309,NC,25-34,Standard,Low,Retail,Web,Credit Card,Android,37.11,0.82,Completed,None,3,Low Risk
TXN0000143,2025-01-25,CUST00475,VA,35-44,Premium,Low,Healthcare,Mobile App,Debit Card,Desktop,28.71,0.34,Completed,None,9,Low Risk
TXN0000144,2025-05-21,CUST00446,GA,35-44,Small Business,Low,Retail,Web,Debit Card,iOS,84.02,1.01,Completed,None,13,Low Risk
TXN0000145,2025-01-28,CUST00306,GA,18-24,Standard,Low,Digital Services,Mobile App,Debit Card,POS,87.63,1.05,Completed,None,6,Low Risk
TXN0000146,2025-03-28,CUST00476,PA,35-44,Standard,Low,Grocery,Mobile App,Wallet Balance,Desktop,12.56,0.05,Completed,None,14,Low Risk
TXN0000147,2025-04-28,CUST00457,MA,55+,Premium,Low,Restaurants,Card Terminal,Debit Card,Android,52.81,0.63,Completed,None,1,Low Risk
TXN0000148,2025-05-22,CUST00053,AZ,45-54,Standard,Low,Money Transfer,API,Credit Card,Android,494.77,10.88,Completed,None,30,Low Risk
TXN0000149,2025-06-27,CUST00043,TX,55+,Standard,Low,Retail,Web,Debit Card,Android,31.63,0.38,Completed,None,10,Low Risk
TXN0000150,2025-05-10,CUST00206,CA,45-54,Small Business,Low,Money Transfer,Mobile App,Credit Card,Android,373.02,8.21,Completed,None,27,Low Risk
TXN0000151,2025-03-29,CUST00026,GA,18-24,Small Business,Low,Subscription,Mobile App,Debit Card,Android,117.38,1.41,Completed,None,9,Low Risk
TXN0000152,2025-06-29,CUST00638,MA,18-24,Small Business,Low,Retail,Mobile App,ACH,Android,51.58,0.31,Completed,None,6,Low Risk
TXN0000153,2025-06-09,CUST00003,NY,25-34,Standard,Low,Restaurants,Web,Wallet Balance,iOS,10.17,0.04,Completed,None,5,Low Risk
TXN0000154,2025-05-09,CUST00509,IL,55+,Small Business,Low,Retail,Web,ACH,Desktop,88.21,0.53,Completed,None,13,Low Risk
TXN0000155,2025-06-22,CUST00167,NY,55+,Premium,Low,Healthcare,API,Debit Card,Desktop,61.99,0.74,Completed,None,13,Low Risk
TXN0000156,2025-01-07,CUST00583,VA,25-34,Standard,Low,Travel,Mobile App,Debit Card,iOS,189.81,2.28,Completed,None,9,Low Risk
TXN0000157,2025-06-24,CUST00194,NC,45-54,Standard,Low,Digital Services,API,Credit Card,iOS,134.26,2.95,Completed,None,11,Low Risk
TXN0000158,2025-04-02,CUST00418,CA,35-44,Standard,Medium,Entertainment,Mobile App,ACH,Desktop,20.22,0.12,Completed,None,27,Low Risk
TXN0000159,2025-03-02,CUST00563,NY,25-34,Premium,Low,Retail,API,Credit Card,Android,26.73,0.0,Failed,Card Declined,43,Medium Risk
TXN0000160,2025-06-25,CUST00382,VA,35-44,Standard,Low,Digital Services,Web,Debit Card,iOS,24.21,0.29,Completed,None,14,Low Risk
TXN0000161,2025-02-27,CUST00079,CO,18-24,Standard,Low,Money Transfer,Web,Credit Card,Desktop,167.95,3.69,Completed,None,21,Low Risk
TXN0000162,2025-02-19,CUST00019,CO,35-44,Standard,High,Digital Services,Mobile App,Credit Card,iOS,52.69,1.16,Completed,None,38,Low Risk
TXN0000163,2025-04-07,CUST00282,GA,35-44,Premium,Low,Grocery,Mobile App,Debit Card,iOS,67.02,0.8,Completed,None,0,Low Risk
TXN0000164,2025-03-26,CUST00118,GA,18-24,Standard,Low,Retail,Card Terminal,Debit Card,POS,37.61,0.45,Completed,None,9,Low Risk
TXN0000165,2025-05-06,CUST00015,TX,25-34,Standard,Low,Entertainment,Web,Debit Card,Desktop,90.59,1.09,Completed,None,5,Low Risk
TXN0000166,2025-05-14,CUST00639,NJ,35-44,Small Business,Low,Grocery,Web,Credit Card,Android,24.43,0.54,Completed,None,7,Low Risk
TXN0000167,2025-02-24,CUST00168,OH,55+,Premium,Low,Restaurants,Mobile App,Debit Card,API,89.9,1.08,Completed,None,15,Low Risk
TXN0000168,2025-05-24,CUST00064,VA,35-44,Standard,Low,Entertainment,Card Terminal,Debit Card,Android,10.29,0.12,Completed,None,7,Low Risk
TXN0000169,2025-01-11,CUST00220,MA,18-24,Standard,Low,Restaurants,Mobile App,Wallet Balance,POS,7.98,0.03,Completed,None,9,Low Risk
TXN0000170,2025-01-07,CUST00107,PA,45-54,Standard,Medium,Money Transfer,API,Debit Card,Desktop,321.05,3.85,Completed,None,41,Medium Risk
TXN0000171,2025-03-17,CUST00507,VA,55+,Standard,Low,Money Transfer,Mobile App,Credit Card,POS,50.61,1.11,Completed,None,15,Low Risk
TXN0000172,2025-06-10,CUST00213,GA,45-54,Premium,Low,Grocery,Web,ACH,POS,182.13,1.09,Completed,None,3,Low Risk
TXN0000173,2025-02-22,CUST00301,NC,45-54,Premium,Low,Retail,Web,Wallet Balance,Desktop,26.03,0.1,Completed,None,2,Low Risk
TXN0000174,2025-06-25,CUST00353,GA,45-54,Standard,Medium,Utilities,Mobile App,Debit Card,iOS,74.47,0.89,Completed,None,23,Low Risk
TXN0000175,2025-05-23,CUST00582,VA,45-54,Premium,Medium,Grocery,API,Wallet Balance,Android,54.77,0.22,Completed,None,37,Low Risk
TXN0000176,2025-04-21,CUST00641,WA,55+,Standard,Medium,Digital Services,Mobile App,Debit Card,iOS,14.75,0.18,Completed,None,17,Low Risk
TXN0000177,2025-05-30,CUST00642,OH,35-44,Standard,Medium,Grocery,API,Debit Card,Android,273.45,3.28,Completed,None,34,Low Risk
TXN0000178,2025-06-05,CUST00620,OH,45-54,Standard,Medium,Grocery,API,Credit Card,Android,12.61,0.28,Completed,None,40,Medium Risk
TXN0000179,2025-02-10,CUST00566,FL,45-54,Standard,Low,Retail,Mobile App,Debit Card,Desktop,110.45,1.33,Completed,None,4,Low Risk
TXN0000180,2025-03-18,CUST00038,FL,45-54,Premium,Low,Restaurants,Card Terminal,ACH,Desktop,97.78,0.59,Completed,None,0,Low Risk
TXN0000181,2025-05-22,CUST00273,CO,25-34,Premium,Low,Money Transfer,Mobile App,Debit Card,Android,174.35,2.09,Completed,None,17,Low Risk
