customer_id,signup_date,state,age_group,customer_segment,risk_tier
CUST00163,2023-05-10,GA,35-44,Standard,High
CUST00164,2024-12-15,OH,45-54,Small Business,Low
CUST00165,2023-04-16,PA,45-54,Premium,Low
CUST00166,2024-03-27,FL,45-54,Standard,High
CUST00167,2023-04-27,NY,55+,Premium,Low
CUST00168,2024-10-06,OH,55+,Premium,Low
CUST00169,2023-11-08,GA,45-54,Standard,Low
CUST00170,2024-09-12,OH,55+,Standard,Low
CUST00171,2024-01-25,AZ,55+,Standard,Low
CUST00172,2024-03-15,NC,18-24,Standard,Low
CUST00173,2025-02-20,VA,18-24,Standard,Low
CUST00174,2023-06-10,CA,18-24,Standard,Low
CUST00175,2024-02-23,FL,18-24,Standard,Low
CUST00176,2023-08-26,AZ,45-54,Standard,Low
CUST00177,2023-03-14,OH,55+,Premium,Medium
CUST00178,2024-11-08,NY,55+,Premium,Low
CUST00179,2023-08-19,AZ,25-34,Standard,Medium
CUST00180,2023-03-15,NC,55+,Standard,Medium
CUST00181,2023-10-23,FL,45-54,Standard,Low
CUST00182,2023-10-06,NY,55+,Standard,Low
CUST00183,2023-02-10,NC,35-44,Premium,Medium
CUST00184,2023-01-27,AZ,55+,Standard,High
CUST00185,2024-08-24,VA,35-44,Small Business,High
CUST00186,2024-08-13,PA,55+,Standard,Medium
CUST00187,2024-10-29,NC,45-54,Standard,Low
CUST00188,2024-10-12,PA,35-44,Premium,High
CUST00189,2024-02-23,AZ,25-34,Standard,Low
CUST00190,2023-12-04,VA,45-54,Standard,Low
CUST00191,2025-04-13,NY,35-44,Premium,Low
CUST00192,2023-09-16,IL,55+,Standard,High
CUST00193,2025-04-24,GA,45-54,Small Business,Low
CUST00194,2024-02-28,NC,45-54,Standard,Low
CUST00195,2024-10-02,FL,55+,Standard,Low
CUST00196,2023-05-15,NJ,45-54,Small Business,Low
CUST00197,2023-05-05,OH,25-34,Standard,Low
CUST00198,2024-12-27,GA,45-54,Standard,Low
CUST00199,2023-04-06,NY,45-54,Standard,Medium
CUST00200,2023-05-01,CO,35-44,Standard,Low
CUST00201,2024-06-05,PA,45-54,Premium,Low
CUST00202,2023-09-07,TX,55+,Standard,Low
CUST00203,2024-06-04,NY,35-44,Premium,Low
CUST00204,2025-03-02,CO,55+,Premium,Low
CUST00205,2023-10-01,FL,55+,Premium,Low
CUST00206,2024-08-16,CA,45-54,Small Business,Low
CUST00207,2024-07-05,OH,55+,Standard,Low
CUST00208,2024-01-22,TX,25-34,Standard,Low
CUST00209,2024-08-08,IL,18-24,Standard,Medium
CUST00210,2023-11-22,OH,45-54,Premium,Medium
CUST00211,2024-01-31,VA,25-34,Small Business,Medium
CUST00212,2024-05-22,NC,35-44,Small Business,Low
CUST00213,2023-04-13,GA,45-54,Premium,Low
CUST00214,2023-01-16,VA,25-34,Premium,Low
CUST00215,2023-03-18,WA,55+,Standard,High
CUST00216,2024-12-10,WA,55+,Standard,Low
CUST00217,2024-01-25,CO,45-54,Small Business,Low
CUST00218,2024-07-08,VA,35-44,Standard,Low
CUST00219,2023-08-21,NY,18-24,Premium,Low
CUST00220,2024-03-30,MA,18-24,Standard,Low
CUST00221,2023-11-29,WA,45-54,Premium,Low
CUST00222,2023-05-30,VA,25-34,Standard,Low
CUST00223,2023-06-24,IL,55+,Standard,Low
CUST00224,2024-11-30,CA,25-34,Standard,Medium
CUST00225,2024-04-17,VA,18-24,Standard,Low
CUST00226,2025-04-03,GA,25-34,Standard,Low
CUST00227,2023-03-17,NC,35-44,Standard,Low
CUST00228,2024-10-16,PA,35-44,Small Business,Low
CUST00229,2023-07-23,NY,25-34,Small Business,Medium
CUST00230,2024-01-26,NJ,35-44,Standard,Low
CUST00231,2023-01-23,FL,18-24,Small Business,Low
CUST00232,2024-08-02,MA,55+,Premium,Medium
CUST00233,2025-02-02,FL,25-34,Standard,Medium
CUST00234,2024-09-13,TX,55+,Premium,Low
CUST00235,2023-09-14,VA,25-34,Premium,Medium
CUST00236,2024-10-05,MA,35-44,Standard,Low
CUST00237,2025-03-18,NJ,25-34,Standard,Low
CUST00238,2023-04-03,IL,25-34,Small Business,Low
CUST00239,2023-07-25,WA,55+,Standard,Low
CUST00240,2024-05-28,FL,45-54,Small Business,Medium
CUST00241,2025-04-05,OH,18-24,Standard,Medium
CUST00242,2024-04-24,TX,45-54,Small Business,Low
CUST00243,2025-04-03,IL,18-24,Standard,Low
CUST00244,2023-09-28,VA,35-44,Standard,Low
CUST00245,2024-08-21,WA,18-24,Standard,Low
CUST00246,2024-11-22,CO,55+,Standard,Low
CUST00247,2023-12-02,NY,45-54,Small Business,Low
CUST00248,2024-12-18,CA,18-24,Standard,Low
CUST00249,2023-02-08,NY,25-34,Standard,Low
CUST00250,2024-07-04,VA,55+,Standard,Low
CUST00251,2024-03-05,CO,45-54,Standard,Medium
CUST00252,2024-11-01,IL,35-44,Standard,Low
CUST00253,2023-02-03,PA,25-34,Premium,Low
CUST00254,2024-01-07,GA,35-44,Standard,Low
CUST00255,2023-03-04,NY,45-54,Standard,Low
CUST00256,2023-04-04,NC,18-24,Premium,Low
CUST00257,2023-02-21,CA,55+,Premium,Low
CUST00258,2023-07-30,TX,55+,Standard,Medium
CUST00259,2023-08-10,OH,25-34,Premium,Low
CUST00260,2025-03-18,AZ,25-34,Small Business,Low
CUST00261,2023-05-14,NY,18-24,Standard,Medium
CUST00262,2023-05-15,TX,55+,Standard,Medium
CUST00263,2023-11-28,CA,45-54,Standard,Low
CUST00264,2024-06-22,PA,35-44,Standard,Low
CUST00265,2024-06-09,TX,55+,Standard,Low
CUST00266,2023-02-14,VA,55+,Premium,Medium
CUST00267,2023-11-05,MA,45-54,Standard,High
CUST00268,2024-02-16,NJ,45-54,Standard,Low
CUST00269,2023-03-17,CA,18-24,Premium,Low
CUST00270,2023-05-10,GA,35-44,Standard,Low
CUST00271,2024-01-26,PA,55+,Small Business,Low
CUST00272,2024-09-11,NY,55+,Standard,Medium
CUST00273,2025-01-08,CO,25-34,Premium,Low
CUST00274,2024-02-28,IL,18-24,Standard,Low
CUST00275,2023-11-17,WA,25-34,Standard,Low
CUST00276,2024-12-04,AZ,18-24,Small Business,Low
CUST00277,2023-04-06,WA,25-34,Standard,Medium
CUST00278,2024-07-23,GA,35-44,Standard,High
CUST00279,2024-11-17,VA,45-54,Standard,Low
CUST00280,2025-01-08,FL,35-44,Standard,Low
CUST00281,2023-04-17,VA,45-54,Standard,Low
CUST00282,2023-08-18,GA,35-44,Premium,Low
CUST00283,2023-04-28,OH,45-54,Premium,Low
CUST00284,2024-07-28,NC,55+,Small Business,Medium
CUST00285,2023-01-27,NJ,35-44,Standard,Low
CUST00286,2023-01-30,FL,35-44,Standard,Medium
CUST00287,2023-12-26,NC,45-54,Standard,Medium
CUST00288,2023-03-13,MA,18-24,Standard,Low
CUST00289,2025-02-03,PA,35-44,Standard,Low
CUST00290,2023-06-11,OH,55+,Standard,Medium
CUST00291,2024-09-02,CA,55+,Standard,Low
CUST00292,2023-02-20,VA,45-54,Premium,Low
CUST00293,2024-05-12,TX,55+,Standard,Low
CUST00294,2023-04-27,VA,55+,Standard,Low
CUST00295,2024-05-13,TX,45-54,Standard,Low
CUST00296,2024-09-05,TX,25-34,Standard,Low
CUST00297,2025-02-21,MA,45-54,Standard,Low
CUST00298,2025-02-03,GA,25-34,Standard,Low
CUST00299,2024-05-27,WA,18-24,Standard,Low
CUST00300,2024-02-11,MA,45-54,Premium,Low
CUST00301,2023-03-21,NC,45-54,Premium,Low
CUST00302,2024-12-27,IL,18-24,Standard,Low
CUST00303,2023-11-29,PA,35-44,Standard,High
CUST00304,2023-04-01,IL,55+,Standard,Low
CUST00305,2024-02-15,FL,35-44,Standard,Low
CUST00306,2023-08-15,GA,18-24,Standard,Low
CUST00307,2024-06-27,WA,35-44,Standard,Medium
CUST00308,2025-01-14,CA,25-34,Small Business,Low
CUST00309,2023-04-16,NC,25-34,Standard,Low
CUST00310,2025-02-17,OH,45-54,Premium,Low
CUST00311,2024-04-20,PA,55+,Premium,Medium
CUST00312,2024-10-20,AZ,35-44,Standard,Low
CUST00313,2023-06-04,VA,35-44,Standard,Low
CUST00314,2025-03-26,GA,18-24,Standard,Low
CUST00315,2023-11-14,WA,35-44,Standard,Low
CUST00316,2023-03-20,NY,55+,Standard,High
CUST00317,2024-08-31,GA,18-24,Standard,Low
CUST00318,2024-04-05,TX,35-44,Small Business,Low
CUST00319,2024-09-11,MA,45-54,Standard,Low
CUST00320,2023-04-16,NJ,18-24,Premium,Medium
CUST00321,2024-05-31,NJ,45-54,Standard,Low
CUST00322,2024-03-25,WA,35-44,Standard,Low
CUST00323,2023-10-17,VA,55+,Standard,Medium
CUST00324,2023-02-23,NY,35-44,Premium,Low
CUST00325,2023-04-07,FL,55+,Standard,Low
CUST00326,2023-06-03,CA,35-44,Standard,Low
CUST00327,2023-11-14,IL,25-34,Small Business,Low
CUST00328,2024-09-01,GA,45-54,Premium,Low
CUST00329,2024-10-20,VA,55+,Premium,Medium
CUST00330,2023-04-06,WA,18-24,Standard,Low
CUST00331,2024-01-07,WA,45-54,Standard,High
CUST00332,2023-07-16,NY,35-44,Standard,Low
CUST00333,2025-03-18,AZ,55+,Standard,Medium
CUST00334,2023-02-08,NC,25-34,Premium,Medium
CUST00335,2024-09-03,AZ,55+,Standard,Low
CUST00336,2025-04-08,MA,45-54,Small Business,Medium
CUST00337,2024-01-09,PA,55+,Premium,Low
CUST00338,2023-10-19,TX,55+,Premium,Medium
CUST00339,2023-09-02,PA,25-34,Standard,Medium
CUST00340,2024-01-12,PA,45-54,Premium,Low
CUST00341,2025-02-26,GA,45-54,Standard,Low
CUST00342,2023-06-15,CA,35-44,Premium,Medium
CUST00343,2023-02-23,GA,18-24,Standard,Medium
CUST00344,2024-12-29,FL,18-24,Premium,Medium
CUST00345,2025-02-20,GA,25-34,Standard,Low
CUST00346,2025-04-30,TX,45-54,Standard,High
CUST00347,2023-12-24,IL,55+,Small Business,Low
CUST00348,2024-01-18,WA,25-34,Standard,High
CUST00349,2023-01-29,NJ,35-44,Standard,Low
CUST00350,2025-03-21,CO,45-54,Standard,Low
CUST00351,2024-12-13,PA,45-54,Premium,Medium
CUST00352,2024-09-22,FL,25-34,Standard,Low
CUST00353,2023-06-03,GA,45-54,Standard,Medium
CUST00354,2023-04-24,NY,18-24,Premium,Low
CUST00355,2023-09-02,PA,18-24,Standard,Medium
CUST00356,2023-04-24,GA,18-24,Premium,Low
CUST00357,2024-10-09,CA,35-44,Standard,Low
CUST00358,2024-03-15,NC,45-54,Standard,Low
CUST00359,2023-07-11,WA,18-24,Premium,Low
CUST00360,2024-06-22,GA,55+,Standard,Medium
CUST00361,2023-01-21,VA,45-54,Standard,Low
CUST00362,2024-01-18,OH,18-24,Standard,Low
CUST00363,2023-12-20,NY,55+,Standard,Low
CUST00364,2025-01-22,WA,55+,Premium,Low
CUST00365,2023-12-13,OH,45-54,Premium,Low
CUST00366,2024-12-13,CA,18-24,Standard,Low
CUST00367,2025-01-03,FL,25-34,Premium,Low
CUST00368,2023-02-14,WA,35-44,Premium,Medium
CUST00369,2024-06-11,PA,35-44,Standard,Medium
CUST00370,2023-02-07,WA,18-24,Premium,Low
CUST00371,2024-11-02,WA,45-54,Standard,Low
CUST00372,2024-02-14,IL,35-44,Premium,Medium
CUST00373,2023-07-11,CO,55+,Standard,Low
CUST00374,2023-10-01,NY,45-54,Premium,Medium
CUST00375,2024-09-08,FL,35-44,Small Business,Low
CUST00376,2023-04-16,FL,45-54,Standard,Low
CUST00377,2024-09-09,PA,35-44,Premium,Low
CUST00378,2024-04-02,WA,55+,Standard,Medium
CUST00379,2024-03-21,MA,18-24,Standard,High
CUST00380,2024-11-18,OH,25-34,Standard,Low
CUST00381,2023-02-01,OH,45-54,Standard,Low
CUST00382,2023-02-05,VA,35-44,Standard,Low
CUST00383,2024-01-06,NC,25-34,Standard,Low
CUST00384,2024-11-26,PA,18-24,Standard,Low
CUST00385,2024-08-10,WA,35-44,Standard,Low
CUST00386,2023-09-13,CA,45-54,Small Business,Low
CUST00387,2024-06-14,FL,35-44,Standard,Low
CUST00388,2024-12-21,FL,45-54,Standard,High
CUST00389,2023-07-24,PA,25-34,Standard,Medium
CUST00390,2024-12-31,VA,35-44,Standard,Low
CUST00391,2024-11-14,GA,35-44,Standard,Low
CUST00392,2023-11-04,CO,25-34,Premium,Medium
CUST00393,2025-03-23,TX,25-34,Standard,Low
CUST00394,2023-08-31,GA,55+,Premium,Low
CUST00395,2024-01-13,CA,55+,Standard,High
CUST00396,2023-03-30,NJ,45-54,Standard,Low
CUST00397,2024-06-22,NC,18-24,Standard,Low
CUST00398,2023-05-09,PA,45-54,Small Business,Low
CUST00399,2024-11-27,AZ,55+,Standard,Low
CUST00400,2024-10-17,CA,45-54,Standard,Medium
CUST00401,2024-05-29,NY,55+,Small Business,Low
CUST00402,2023-06-06,CO,25-34,Standard,Low
CUST00403,2023-12-21,FL,18-24,Small Business,Low
CUST00404,2023-09-14,FL,25-34,Standard,High
CUST00405,2024-10-02,GA,25-34,Standard,Low
CUST00406,2024-08-29,VA,55+,Small Business,Low
CUST00407,2025-01-07,CO,55+,Small Business,Low
CUST00408,2023-02-12,MA,55+,Premium,Low
CUST00409,2023-09-29,IL,55+,Premium,Medium
CUST00410,2024-10-16,GA,35-44,Standard,Medium
CUST00411,2024-10-19,OH,45-54,Small Business,Low
CUST00412,2023-11-01,CA,45-54,Standard,Low
CUST00413,2024-03-01,NC,25-34,Standard,Low
CUST00414,2023-11-17,AZ,35-44,Premium,Low
CUST00415,2024-02-13,GA,18-24,Standard,Low
CUST00416,2023-11-23,PA,25-34,Standard,Low
CUST00417,2023-05-25,IL,55+,Standard,Low
CUST00418,2024-03-04,CA,35-44,Standard,Medium
CUST00419,2024-08-14,CA,45-54,Premium,Low
CUST00420,2024-06-11,PA,18-24,Standard,Medium
CUST00421,2023-04-03,TX,25-34,Small Business,Low
CUST00422,2024-08-20,PA,55+,Standard,Low
CUST00423,2024-10-31,MA,18-24,Premium,Low
CUST00424,2024-03-17,WA,45-54,Standard,Low
CUST00425,2024-01-10,GA,25-34,Standard,Low
CUST00426,2024-01-07,GA,45-54,Standard,Low
CUST00427,2025-02-21,NC,55+,Standard,Medium
CUST00428,2023-05-02,WA,35-44,Standard,Low
CUST00429,2024-07-25,TX,55+,Small Business,Medium
CUST00430,2024-06-05,MA,25-34,Standard,Low
CUST00431,2024-12-31,PA,25-34,Standard,Low
CUST00432,2024-09-12,CO,55+,Premium,Low
CUST00433,2023-11-23,NJ,35-44,Standard,High
CUST00434,2024-08-30,GA,45-54,Standard,Medium
CUST00435,2024-12-26,MA,35-44,Standard,Low
CUST00436,2023-12-06,NC,35-44,Premium,High
CUST00437,2025-03-26,VA,18-24,Premium,Medium
CUST00438,2024-09-03,OH,55+,Standard,High
CUST00439,2024-08-14,PA,25-34,Standard,Low
CUST00440,2024-06-20,AZ,45-54,Standard,Low
CUST00441,2023-06-01,NC,18-24,Premium,Low
CUST00442,2023-07-15,CA,45-54,Standard,Low
CUST00443,2024-12-08,NC,45-54,Standard,Low
CUST00444,2025-01-23,GA,25-34,Premium,Medium
CUST00445,2024-07-28,GA,45-54,Standard,Low
CUST00446,2023-11-18,GA,35-44,Small Business,Low
CUST00447,2024-07-13,NJ,35-44,Standard,Medium
CUST00448,2024-09-16,FL,55+,Standard,High
CUST00449,2023-11-02,FL,35-44,Standard,High
CUST00450,2024-12-22,WA,45-54,Standard,Medium
CUST00451,2023-12-24,NJ,35-44,Standard,High
CUST00452,2023-10-22,IL,45-54,Standard,Low
CUST00453,2025-04-18,CA,35-44,Standard,Medium
CUST00454,2023-02-13,WA,45-54,Standard,Medium
CUST00455,2024-11-02,TX,55+,Standard,Low
CUST00456,2023-10-05,CA,18-24,Small Business,Low
CUST00457,2024-09-22,MA,55+,Premium,Low
CUST00458,2023-08-20,IL,35-44,Standard,Low
CUST00459,2025-01-04,CA,18-24,Standard,Low
CUST00460,2024-07-17,VA,45-54,Small Business,Low
CUST00461,2024-05-03,FL,35-44,Premium,Medium
CUST00462,2023-10-20,NY,55+,Standard,Medium
CUST00463,2023-08-26,CO,18-24,Standard,Medium
CUST00464,2023-06-29,CO,18-24,Standard,Medium
CUST00465,2024-02-11,NJ,35-44,Premium,Low
CUST00466,2023-02-08,NY,35-44,Standard,Low
CUST00467,2023-10-19,GA,45-54,Standard,Low
CUST00468,2023-05-18,TX,18-24,Premium,Low
CUST00469,2023-12-05,FL,25-34,Standard,Low
CUST00470,2023-01-15,NC,25-34,Premium,Medium
CUST00471,2023-06-29,IL,45-54,Standard,Low
CUST00472,2024-06-11,NY,25-34,Standard,Low
CUST00473,2023-05-24,MA,35-44,Standard,High
CUST00474,2024-01-28,WA,35-44,Standard,Medium
CUST00475,2024-08-19,VA,35-44,Premium,Low
CUST00476,2024-12-10,PA,35-44,Standard,Low
CUST00477,2023-06-13,CO,35-44,Standard,Low
CUST00478,2024-12-07,FL,35-44,Standard,Medium
CUST00479,2024-09-21,PA,25-34,Standard,High
CUST00480,2024-04-10,IL,55+,Premium,Low
CUST00481,2024-04-27,AZ,25-34,Premium,Medium
CUST00482,2025-02-19,AZ,18-24,Standard,Medium
CUST00483,2024-06-22,NY,55+,Standard,Medium
CUST00484,2023-04-25,GA,25-34,Standard,Low
CUST00485,2024-08-09,AZ,55+,Standard,Low
CUST00486,2024-03-28,NC,45-54,Standard,Low
CUST00487,2023-04-04,MA,45-54,Premium,Low
CUST00488,2023-05-16,MA,55+,Standard,Low
CUST00489,2024-04-18,MA,45-54,Premium,Low
CUST00490,2023-09-18,NC,18-24,Premium,Medium
CUST00491,2023-02-16,GA,18-24,Standard,Medium
CUST00492,2023-03-12,FL,45-54,Small Business,Low
CUST00493,2023-07-04,NJ,45-54,Premium,Medium
CUST00494,2024-01-19,AZ,45-54,Small Business,Low
CUST00495,2024-01-20,AZ,55+,Standard,High
CUST00496,2023-05-17,CA,55+,Premium,Low
CUST00497,2024-02-07,TX,18-24,Standard,Medium
CUST00498,2025-02-13,VA,55+,Standard,Low
CUST00499,2024-03-10,TX,45-54,Standard,Medium
CUST00500,2023-12-21,CO,18-24,Standard,Low
CUST00501,2023-02-02,OH,18-24,Premium,Low
CUST00502,2023-09-04,MA,45-54,Standard,Low
CUST00503,2024-09-04,TX,18-24,Premium,Medium
CUST00504,2024-02-16,OH,18-24,Standard,Low
CUST00505,2023-05-24,AZ,55+,Standard,Low
CUST00506,2023-11-23,AZ,35-44,Standard,Medium
CUST00507,2023-08-31,VA,55+,Standard,Low
CUST00508,2023-08-15,GA,55+,Standard,Low
CUST00509,2025-01-22,IL,55+,Small Business,Low
CUST00510,2024-05-22,VA,45-54,Standard,Low
CUST00511,2025-03-15,IL,25-34,Standard,Low
CUST00512,2023-11-04,PA,25-34,Standard,Medium
CUST00513,2023-08-19,OH,45-54,Standard,Medium
